tag,n_bf16,n_nvfp4,bf16_b1,nvfp4_b1,bf16_b2,nvfp4_b2,bf16_b3,nvfp4_b3,bf16_all,nvfp4_all,ratio_b3,reldiff_b3,bf16_shape,nvfp4_shape,bf16_trend,nvfp4_trend,bf16_std_b3,nvfp4_std_b3
rollout/output_tokens/mean,300,300,1418.9553125,1406.281875,1410.5565625,1394.54375,1436.85046875,1420.75984375,1422.12078125,1407.19515625,0.9888014617039461,-0.011198538296053863,1419->1411->1437,1406->1395->1421,1.0126115009347765,1.0102952110863266,185.1404192369389,182.02829573320238
rollout/output_tokens/std,300,300,553.0763870239258,560.9667080688477,557.8388250732422,562.6317636108398,536.2135906982422,548.4132827758789,549.0429342651368,557.3372514851889,1.0227515532788913,0.022245435077513115,553.1->557.8->536.2,561->562.6->548.4,0.969510908942576,0.977621799810216,86.97507258970776,82.46932688985939
rollout/prompt_length/max,300,300,260.78,260.78,266.72,266.72,258.41,258.41,261.97,261.97,1.0,0.0,260.8->266.7->258.4,260.8->266.7->258.4,0.9909118797453794,0.9909118797453794,101.31614826867433,101.31614826867433
rollout/prompt_length/mean,300,300,157.11125,157.11125,155.46,155.46,157.85625,157.85625,156.80916666666667,156.80916666666667,1.0,0.0,157.1->155.5->157.9,157.1->155.5->157.9,1.0047418628519598,1.0047418628519598,23.243570179460384,23.243570179460384
rollout/response_length/max,300,300,2048.0,2048.0,2048.0,2048.0,2048.0,2048.0,2048.0,2048.0,1.0,0.0,2048->2048->2048,2048->2048->2048,1.0,1.0,0.0,0.0
rollout/response_length/mean,300,300,1418.9553125,1406.281875,1410.5565625,1394.54375,1436.85046875,1420.75984375,1422.12078125,1407.19515625,0.9888014617039461,-0.011198538296053863,1419->1411->1437,1406->1395->1421,1.0126115009347765,1.0102952110863266,185.1404192369389,182.02829573320238
rollout/total_length/max,300,300,2265.81,2269.67,2281.66,2281.55,2288.24,2288.48,2278.57,2279.9,1.0001048841030662,0.00010487310354481423,2266->2282->2288,2270->2282->2288,1.009899329599569,1.0082875484101212,95.07514080978267,95.76872976081494
rollout/total_length/mean,300,300,1576.0665625,1563.393125,1566.0165625,1550.00375,1594.70671875,1578.61609375,1578.9299479166666,1564.0043229166668,0.9899099785491513,-0.010090021450848701,1576->1566->1595,1563->1550->1579,1.011827010796062,1.0097371342540602,192.6704447560526,190.65771634279534
rollout/truncation_rate/mean,300,300,0.33046875,0.33703125,0.3215625,0.31734375,0.33859375,0.33546875,0.3302083333333333,0.3299479166666667,0.9907706506691277,-0.009229349330872305,0.3305->0.3216->0.3386,0.337->0.3173->0.3355,1.024586288416076,0.9953639313861844,0.13587561450528016,0.13028767374424757
rollout_buffer/active_slots_in_use_peak,300,300,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,1.0,0.0,8->8->8,8->8->8,1.0,1.0,0.0,0.0
rollout_buffer/available_active_slots,300,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0->0->0,0->0->0,nan,nan,0.0,0.0
rollout_buffer/num_groups_finalized,300,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0->0->0,0->0->0,nan,nan,0.0,0.0
rollout_buffer/num_groups_inflight,300,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0->0->0,0->0->0,nan,nan,0.0,0.0
rollout_buffer/num_groups_waiting,300,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0->0->0,0->0->0,nan,nan,0.0,0.0
rollout_reward/_max,300,300,0.98,0.93,1.0,0.94,1.0,0.95,0.9933333333333333,0.94,0.95,-0.050000000000000044,0.98->1->1,0.93->0.94->0.95,1.0204081632653061,1.021505376344086,0.0,0.21794494717703372
rollout_reward/_mean,300,300,0.12171875,0.07734375,0.18484375,0.09375,0.251875,0.0921875,0.18614583333333334,0.08776041666666666,0.36600496277915634,-0.6339950372208437,0.1217->0.1848->0.2519,0.07734->0.09375->0.09219,2.0693196405648266,1.191919191919192,0.11759886133589899,0.06586637158861873
rollout_reward/_min,300,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0->0->0,0->0->0,nan,nan,0.0,0.0
rollout_reward/_std,300,300,0.30280133306980134,0.24054289668798445,0.3676429551839828,0.26147470116615296,0.4102677057683468,0.26231995835900307,0.36023733134071034,0.25477918540438016,0.6393872943709569,-0.3606127056290432,0.3028->0.3676->0.4103,0.2405->0.2615->0.2623,1.3549071980927259,1.0905329651004674,0.07927739245232303,0.10265878598005133
rollout_reward/_sum,300,300,7.79,4.95,11.83,6.0,16.12,5.9,11.913333333333334,5.616666666666666,0.36600496277915634,-0.6339950372208437,7.79->11.83->16.12,4.95->6->5.9,2.0693196405648266,1.191919191919192,7.526327125497535,4.215447781671599
rollout_reward/component/RewardMathVerify/mean,300,300,0.12171875,0.07734375,0.18484375,0.09375,0.251875,0.0921875,0.18614583333333334,0.08776041666666666,0.36600496277915634,-0.6339950372208437,0.1217->0.1848->0.2519,0.07734->0.09375->0.09219,2.0693196405648266,1.191919191919192,0.11759886133589899,0.06586637158861873
rollout_reward/group_zero_std_frac/mean,300,300,0.6325,0.71625,0.5275,0.7075,0.4925,0.6975,0.5508333333333333,0.7070833333333333,1.4162436548223352,0.2939068100358423,0.6325->0.5275->0.4925,0.7163->0.7075->0.6975,0.7786561264822135,0.9738219895287957,0.16471566410029131,0.1697240407249368
timing/step/blocking_generator_pull_model_state_dict/mean,300,300,8.578833658248186e-06,9.560545440763236e-06,8.678010490257293e-06,8.454996695945738e-06,1.1755770683521405e-05,1.0903601651079953e-05,9.670871610675628e-06,9.639714595929642e-06,0.9275105771129089,-0.07248942288709116,8.579e-06->8.678e-06->1.176e-05,9.561e-06->8.455e-06->1.09e-05,1.3703227212266471,1.1404790363309543,4.7710882796853186e-06,3.5826143469419383e-06
timing/step/blocking_trainer_push_model_state_dict/mean,300,300,1.3054985320195556e-05,1.5455240500159562e-05,1.5078970172908156e-05,1.3224901958892588e-05,1.8744521221378817e-05,1.8198968027718366e-05,1.562615890482751e-05,1.5626370162256836e-05,0.9708953252410508,-0.029104674758949182,1.305e-05->1.508e-05->1.874e-05,1.546e-05->1.322e-05->1.82e-05,1.4358132745183383,1.1775273265744701,6.9743367395313995e-06,6.856849610147686e-06
timing/step/forward_backward/mean,300,300,21.954741106033325,36.82006572723389,21.99112078666687,35.88597448348999,23.06066032409668,38.16913652420044,22.335507405598957,36.958392244974775,1.6551623408769662,0.39582965652169017,21.95->21.99->23.06,36.82->35.89->38.17,1.0503726831813762,1.0366395542843563,4.275130837999985,7.001118382110564
timing/step/optim/mean,300,300,0.12150221306830644,0.12871108565479517,0.1007408982887864,0.11022957779467106,0.08958872672170401,0.0973061678186059,0.10394394602626562,0.11208227708935738,1.086142993424554,0.07931091389076617,0.1215->0.1007->0.08959,0.1287->0.1102->0.09731,0.7373423451253417,0.7560045610957111,0.23624895801575974,0.26521162703282614
timing/step/total/mean,300,300,398.9669351196289,601.5546215820312,408.4477526855469,592.7204809570312,387.52315002441406,642.4072802734376,398.31261260986327,612.2274609375,1.6577262035389775,0.39676407487245985,399->408.4->387.5,601.6->592.7->642.4,0.9713164573605995,1.0679118025624468,15.439382046527575,57.666633492458885
timing/step/wait_for_training_batch/mean,300,300,376.8897589111328,564.6048138427734,386.354873046875,556.7233276367188,364.371887512207,604.1397631835938,375.87217315673826,575.1559682210286,1.65803066561592,0.3968748463234707,376.9->386.4->364.4,564.6->556.7->604.1,0.9667863848699657,1.0700223384064695,14.595361815360542,57.03546805261164
timing/weight_sync/generator_pull_model_state_dict,300,300,3.1455690336227415,3.2629240465164187,3.3718107891082765,2.7568281149864196,2.7639831781387327,3.0459090447425843,3.0937876669565836,3.021887068748474,1.1019998489258898,0.09255885926418976,3.146->3.372->2.764,3.263->2.757->3.046,0.8786909931381993,0.9334906364107601,0.30291624351058694,0.6100733467648553
timing/weight_sync/trainer_push_model_state_dict,300,300,0.3759554818272591,0.7090219482779503,0.6970953431725502,0.6372769087553024,0.6923683321475983,0.6927371400594712,0.5884730523824692,0.6796786656975746,1.0005326758818227,0.0005323922892905952,0.376->0.6971->0.6924,0.709->0.6373->0.6927,1.8416231857625154,0.9770320111273972,2.8017695738194317,3.230531061714298
train_batch/num_metric_only_groups,300,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0->0->0,0->0->0,nan,nan,0.0,0.0
train_batch/num_microbatches,300,300,17.98,17.75,17.74,17.57,18.16,18.15,17.96,17.823333333333334,0.9994493392070484,-0.0005506607929516279,17.98->17.74->18.16,17.75->17.57->18.15,1.0100111234705227,1.0225352112676056,3.254903992439716,3.2074132879939246
train_batch/num_rollout_groups,300,300,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,1.0,0.0,8->8->8,8->8->8,1.0,1.0,0.0,0.0
train_batch/num_training_samples,300,300,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,1.0,0.0,64->64->64,64->64->64,1.0,1.0,0.0,0.0
train_batch/padding_frac,300,300,0.30777679637074473,0.30546242266893386,0.30535364359617234,0.3038033491373062,0.30708946466445924,0.31372876837849617,0.30673996821045874,0.3076648467282454,1.021620096024106,0.021162559456539793,0.3078->0.3054->0.3071,0.3055->0.3038->0.3137,0.9977667851690238,1.0270617434293106,0.049246837741276375,0.047944587283873186
train_batch/policy_age/mean,300,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0->0->0,0->0->0,nan,nan,0.0,0.0
train_batch/policy_age_max,300,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0->0->0,0->0->0,nan,nan,0.0,0.0
trainer/entropy/mean,300,300,0.27737379148602487,0.27640907928347586,0.2780176244676113,0.2763636390864849,0.2858153364062309,0.2817091992497444,0.28040225078662234,0.2781606392065684,0.985633601023248,-0.014366398976751986,0.2774->0.278->0.2858,0.2764->0.2764->0.2817,1.0304338231632506,1.019174912705501,0.04923494582592184,0.048423334056844035
trainer/grad_norm/mean,300,300,0.13787353515625,0.11174072265625,0.16140380859375,0.114521484375,0.16935791015625,0.11987548828125,0.15621175130208334,0.11537923177083333,0.7078233793192924,-0.2921766206807076,0.1379->0.1614->0.1694,0.1117->0.1145->0.1199,1.228356913923468,1.0728003670606743,0.04415423016474145,0.04992495501931218
trainer/lr,300,300,9.949999974878665e-07,9.949999974878665e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.98333330812784e-07,9.98333330812784e-07,1.0,0.0,9.95e-07->1e-06->1e-06,9.95e-07->1e-06->1e-06,1.0050251256281406,1.0050251256281406,0.0,0.0
trainer/policy_version,300,300,50.5,50.5,150.5,150.5,250.5,250.5,150.5,150.5,1.0,0.0,50.5->150.5->250.5,50.5->150.5->250.5,4.96039603960396,4.96039603960396,28.86607004772212,28.86607004772212
training_sample_builder/num_training_samples/sum,300,300,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,1.0,0.0,64->64->64,64->64->64,1.0,1.0,0.0,0.0
