arm,metric,step,value
arm_mxfp8_deq,rollout_reward/_mean,4,0.09375
arm_mxfp8_deq,rollout_reward/_mean,5,0.109375
arm_mxfp8_deq,rollout_reward/_mean,6,0.109375
arm_mxfp8_deq,rollout_reward/_mean,7,0.078125
arm_mxfp8_deq,rollout_reward/_mean,8,0.046875
arm_mxfp8_deq,rollout_reward/_mean,9,0.078125
arm_mxfp8_deq,rollout_reward/_mean,10,0.171875
arm_mxfp8_deq,trainer/entropy/mean,1,0.2198283076286316
arm_mxfp8_deq,trainer/entropy/mean,2,0.3488326072692871
arm_mxfp8_deq,trainer/entropy/mean,3,0.3843343257904053
arm_mxfp8_deq,trainer/entropy/mean,4,0.26328280568122864
arm_mxfp8_deq,trainer/entropy/mean,5,0.31472694873809814
arm_mxfp8_deq,trainer/entropy/mean,6,0.21566890180110931
arm_mxfp8_deq,trainer/entropy/mean,7,0.25112229585647583
arm_mxfp8_deq,trainer/entropy/mean,8,0.3079369068145752
arm_mxfp8_deq,trainer/entropy/mean,9,0.23015308380126953
arm_mxfp8_deq,trainer/entropy/mean,10,0.28073495626449585
arm_mxfp8_deq,bit_wise/logprob_diff/mean,1,-0.0007692596409469843
arm_mxfp8_deq,bit_wise/logprob_diff/mean,2,-0.0010541635565459728
arm_mxfp8_deq,bit_wise/logprob_diff/mean,3,-0.001197882229462266
arm_mxfp8_deq,bit_wise/logprob_diff/mean,4,-0.0008839098736643791
arm_mxfp8_deq,bit_wise/logprob_diff/mean,5,-0.000973392918240279
arm_mxfp8_deq,bit_wise/logprob_diff/mean,6,-0.0010798797011375427
arm_mxfp8_deq,bit_wise/logprob_diff/mean,7,-0.0009920371230691671
arm_mxfp8_deq,bit_wise/logprob_diff/mean,8,-0.0015276642516255379
arm_mxfp8_deq,bit_wise/logprob_diff/mean,9,-0.0006952350959181786
arm_mxfp8_deq,bit_wise/logprob_diff/mean,10,-0.0012249654391780496
arm_mxfp8_deq,loss/ratio_clipped_frac,1,0.005263228435069323
arm_mxfp8_deq,loss/ratio_clipped_frac,2,0.00611043069511652
arm_mxfp8_deq,loss/ratio_clipped_frac,3,0.007164851296693087
arm_mxfp8_deq,loss/ratio_clipped_frac,4,0.004695935640484095
arm_mxfp8_deq,loss/ratio_clipped_frac,5,0.006666050758212805
arm_mxfp8_deq,loss/ratio_clipped_frac,6,0.005117176100611687
arm_mxfp8_deq,loss/ratio_clipped_frac,7,0.006937164813280106
arm_mxfp8_deq,loss/ratio_clipped_frac,8,0.007063756231218576
arm_mxfp8_deq,loss/ratio_clipped_frac,9,0.004890474025160074
arm_mxfp8_deq,loss/ratio_clipped_frac,10,0.005589040461927652
arm_nvfp4_hp,loss/mean,1,-0.0023899648804217577
arm_nvfp4_hp,loss/mean,2,0.015399225056171417
arm_nvfp4_hp,loss/mean,3,-0.0015454269014298916
arm_nvfp4_hp,loss/mean,4,0.017603829503059387
arm_nvfp4_hp,loss/mean,5,0.023032575845718384
arm_nvfp4_hp,loss/mean,6,0.00901311170309782
arm_nvfp4_hp,loss/mean,7,0.0022460753098130226
arm_nvfp4_hp,loss/mean,8,0.000871678814291954
arm_nvfp4_hp,loss/mean,9,0.011771094053983688
arm_nvfp4_hp,loss/mean,10,0.003570091910660267
arm_nvfp4_hp,trainer/grad_norm/mean,1,0.119140625
arm_nvfp4_hp,trainer/grad_norm/mean,2,0.048095703125
arm_nvfp4_hp,trainer/grad_norm/mean,3,0.0615234375
arm_nvfp4_hp,trainer/grad_norm/mean,4,0.1298828125
