
### trainer/lr
step | ABL_bf16 | ABL_nvfp4 | LONG_bf16 | LONG_nvfp4
   5 | 64 | 64 | 64 | 64
   6 | 64 | 64 | 64 | 64
   7 | 64 | 64 | 64 | 64
   8 | 64 | 64 | 64 | 64
   9 | 64 | 64 | 64 | 64
  10 | 64 | 64 | 64 | 64

### trainer/policy_version
step | ABL_bf16 | ABL_nvfp4 | LONG_bf16 | LONG_nvfp4
   0 | - | - | - | -
   1 | 1 | 1 | 1 | 1
   2 | 2 | 2 | 2 | 2
   3 | 3 | 3 | 3 | 3
   4 | 4 | 4 | 4 | 4
   5 | 5 | 5 | 5 | 5
   6 | 6 | 6 | 6 | 6
   7 | 7 | 7 | 7 | 7
   8 | 8 | 8 | 8 | 8
   9 | 9 | 9 | 9 | 9
  10 | 10 | 10 | 10 | 10

### validation_reward/_mean
step | ABL_bf16 | ABL_nvfp4 | LONG_bf16 | LONG_nvfp4
   0 | 0.0625 | 0 | - | -
   1 | - | - | - | -
   2 | - | - | - | -
   3 | - | - | - | -
   4 | - | - | - | -
   5 | - | - | - | -
   6 | - | - | - | -
   7 | - | - | - | -
   8 | - | - | - | -
   9 | - | - | - | -
  10 | 0 | 0 | - | -

### rollout/prompt_length/mean
step | ABL_bf16 | ABL_nvfp4 | LONG_bf16 | LONG_nvfp4
   0 | - | - | - | -
   1 | 166.12 | 166.12 | 166.12 | 166.12
   2 | 171.62 | 171.62 | 171.62 | 171.62
   3 | 139.38 | 139.38 | 139.38 | 139.38
   4 | 137.25 | 137.25 | 137.25 | 137.25
   5 | 144.5 | 144.5 | 144.5 | 144.5
   6 | 163.75 | 163.75 | 163.75 | 163.75
   7 | 159.12 | 159.12 | 159.12 | 159.12
   8 | 161.25 | 161.25 | 161.25 | 161.25
   9 | 143.12 | 143.12 | 143.12 | 143.12
  10 | 151.38 | 151.38 | 151.38 | 151.38

### means over steps 1-10
trainer/lr                                    6e-07 | 6e-07 | 9.5e-07 | 9.5e-07
rollout_reward/_mean                          0.098437 | 0.064062 | 0.08125 | 0.067187
rollout_reward/group_zero_std_frac/mean       0.6625 | 0.7375 | 0.7 | 0.75
loss/ratio_clipped_frac                       0.0031793 | 0.019937 | 0.0033745 | 0.02038
bit_wise/logprob_diff/mean                    -0.00069632 | -0.0028009 | -0.00072521 | -0.0027197
bit_wise/logprob_diff/max                     1.2592 | 3.5296 | 1.029 | 2.9481
trainer/grad_norm/mean                        0.12271 | 0.099463 | 0.1085 | 0.091992
trainer/entropy/mean                          0.27681 | 0.2643 | 0.27795 | 0.27598
rollout/response_length/mean                  1443 | 1456.1 | 1440.9 | 1451.4
rollout/truncation_rate/mean                  0.34844 | 0.34531 | 0.3375 | 0.37344
loss/mean                                     0.011143 | 0.0026514 | 0.0062121 | 0.015153
train_batch/num_training_samples              64 | 64 | 64 | 64
trainer/policy_version                        5.5 | 5.5 | 5.5 | 5.5
validation_reward/_mean                       0 | 0 | - | -
rollout/prompt_length/mean                    153.75 | 153.75 | 153.75 | 153.75

### long-run reward block means
1-10: BF16 0.0813 NVFP4 0.0672
11-20: BF16 0.1016 NVFP4 0.0516
21-30: BF16 0.1562 NVFP4 0.1047
31-40: BF16 0.1125 NVFP4 0.0813
41-50: BF16 0.1219 NVFP4 0.0766
1-30: BF16 0.1130 NVFP4 0.0745
31-60: BF16 0.1234 NVFP4 0.0844
61-100: BF16 0.1270 NVFP4 0.0742
1-100: BF16 0.1217 NVFP4 0.0773

### per-step reward diff (bf16-nvfp4) ablation vs long, steps 1-10
ablation diffs: ['+0.0625', '+0.0156', '+0.0156', '+0.1094', '+0.0469', '-0.0312', '+0.0469', '+0.0625', '+0.0000', '+0.0156'] mean +0.0344 sd 0.0395
long diffs    : ['+0.0469', '+0.0312', '+0.0156', '+0.0156', '+0.0625', '+0.0156', '-0.0469', '-0.0156', '+0.0000', '+0.0156'] mean +0.0141 sd 0.0308

### same arm: ablation vs long, reward per step
arm_bf16 minus long: ['+0.0156', '+0.0000', '+0.0000', '+0.0938', '+0.0156', '-0.0469', '+0.0625', '+0.0156', '-0.0156', '+0.0312'] mean +0.0172
  identical steps: 2
arm_nvfp4_deq minus long: ['+0.0000', '+0.0156', '+0.0000', '+0.0000', '+0.0312', '+0.0000', '-0.0312', '-0.0625', '-0.0156', '+0.0312'] mean -0.0031
  identical steps: 4
